Time,UE,CurXPos,CurYPos,CurZPos,CurXVel,CurYVel,CurZVel,CalcClosestENB,CalcClosestEnbDist,enbX,enbY,enbZ
0,0,99.2154,15.4972,27.8631,-6.59438,-3.85611,0.0376894,0,104.212,0,0,0
0.01,0,99.1494,15.4586,27.8635,-6.59438,-3.85611,0.0376894,0,104.144,0,0,0
0.02,0,99.0835,15.42,27.8639,-6.59438,-3.85611,0.0376894,0,104.076,0,0,0
0.03,0,99.0175,15.3815,27.8643,-6.59438,-3.85611,0.0376894,0,104.007,0,0,0
0.04,0,98.9516,15.3429,27.8647,-6.59438,-3.85611,0.0376894,0,103.939,0,0,0
0.05,0,98.8857,15.3044,27.865,-6.59438,-3.85611,0.0376894,0,103.87,0,0,0
0.06,0,98.8197,15.2658,27.8654,-6.59438,-3.85611,0.0376894,0,103.802,0,0,0
0.07,0,98.7538,15.2272,27.8658,-6.59438,-3.85611,0.0376894,0,103.734,0,0,0
0.08,0,98.6878,15.1887,27.8662,-6.59438,-3.85611,0.0376894,0,103.665,0,0,0
0.09,0,98.6219,15.1501,27.8665,-6.59438,-3.85611,0.0376894,0,103.597,0,0,0
0.1,0,98.5559,15.1116,27.8669,-6.59438,-3.85611,0.0376894,0,103.529,0,0,0
0.11,0,98.49,15.073,27.8673,-6.59438,-3.85611,0.0376894,0,103.46,0,0,0
0.12,0,98.4241,15.0344,27.8677,-6.59438,-3.85611,0.0376894,0,103.392,0,0,0
0.13,0,98.3581,14.9959,27.868,-6.59438,-3.85611,0.0376894,0,103.324,0,0,0
0.14,0,98.2922,14.9573,27.8684,-6.59438,-3.85611,0.0376894,0,103.256,0,0,0
0.15,0,98.2262,14.9188,27.8688,-6.59438,-3.85611,0.0376894,0,103.187,0,0,0
0.16,0,98.1603,14.8802,27.8692,-6.59438,-3.85611,0.0376894,0,103.119,0,0,0
0.17,0,98.0943,14.8416,27.8696,-6.59438,-3.85611,0.0376894,0,103.051,0,0,0
0.18,0,98.0284,14.8031,27.8699,-6.59438,-3.85611,0.0376894,0,102.983,0,0,0
0.19,0,97.9624,14.7645,27.8703,-6.59438,-3.85611,0.0376894,0,102.914,0,0,0
0.2,0,97.8965,14.7259,27.8707,-6.59438,-3.85611,0.0376894,0,102.846,0,0,0
0.21,0,97.8306,14.6874,27.8711,-6.59438,-3.85611,0.0376894,0,102.778,0,0,0
0.22,0,97.7646,14.6488,27.8714,-6.59438,-3.85611,0.0376894,0,102.71,0,0,0
0.23,0,97.6987,14.6103,27.8718,-6.59438,-3.85611,0.0376894,0,102.642,0,0,0
0.24,0,97.6327,14.5717,27.8722,-6.59438,-3.85611,0.0376894,0,102.574,0,0,0
0.25,0,97.5668,14.5331,27.8726,-6.59438,-3.85611,0.0376894,0,102.505,0,0,0
0.26,0,97.5008,14.4946,27.8729,-6.59438,-3.85611,0.0376894,0,102.437,0,0,0
0.27,0,97.4349,14.456,27.8733,-6.59438,-3.85611,0.0376894,0,102.369,0,0,0
