'', 'time', 'frame', 'subF', '1stSym', 'symbol#', 'cellId', 'rnti', 'ccId', 'tbSize', 'mcs', 'rv', 'SINR(dB)', 'corrupt', 'TBler'
'UL', '0.00360832', '3', '6', '1', '1', '1', '1', '0', '48', '0', '0', '-1.20459', '0', '0'
'UL', '0.0236083', '23', '6', '1', '1', '1', '1', '0', '48', '0', '0', '0.0965877', '0', '0'
