,  time,  frame,  subF,  1stSym,  symbol#,  cellId,  rnti,  ccId,  tbSize,  mcs,  rv,  SINR(dB),  corrupt,  TBler,Time, UE, CurXPos, CurYPos, CurZPos, CurXVel, CurYVel, CurZVel, CalcClosestENB, CalcClosestEnbDist, enbX, enbY, enbZ
UL,  0.00360832,  3,  6,  1,  1,  1,  1,  0,  48,  0,  0,  -1.20459,  0,  0,0, 0, 99.2154, 15.4972, 27.8631, -6.59438, -3.85611, 0.0376894, 0, 104.212, 0, 0, 0
UL,  0.00360832,  3,  6,  1,  1,  1,  1,  0,  48,  0,  0,  -1.20459,  0,  0,0.01, 0, 99.1494, 15.4586, 27.8635, -6.59438, -3.85611, 0.0376894, 0, 104.144, 0, 0, 0
